class,scientific,english
Mammalia,Arielulus aureocollaris,"Collared Sprite, Collared Pipistrelle"
Mammalia,Arielulus circumdatus,"Bronze Sprite, Black-gilded Pipistrelle, Black Gilded Pipistrelle"
Mammalia,Arielulus cuprosus,"Coppery Sprite, Coppery Pipistrelle"
Mammalia,Arielulus societatis,"Social Sprite, Social Pipistrelle"
Mammalia,Arielulus torquatus,"Necklace Sprite, Necklace Pipistrelle"
Mammalia,Ariteus flavescens,Jamaican Fig-eating Bat
Mammalia,Artibeus amplus,Large Fruit-eating Bat
Mammalia,Artibeus anderseni,Andersen's Fruit-eating Bat
Mammalia,Artibeus aztecus,Aztec Fruit-eating Bat
Mammalia,Artibeus cinereus,Gervais's Fruit-eating Bat
Mammalia,Artibeus concolor,Brown Fruit-eating Bat
Mammalia,Artibeus fimbriatus,Fringed Fruit-eating Bat
Mammalia,Artibeus fraterculus,Fraternal Fruit-eating Bat
Mammalia,Artibeus glaucus,Silver Fruit-eating Bat
Mammalia,Artibeus gnomus,Dwarf Fruit-eating Bat
Mammalia,Artibeus hirsutus,Hairy Fruit-eating Bat
Mammalia,Artibeus incomitatus,Solitary Fruit-eating Bat
Mammalia,Artibeus inopinatus,Honduran Fruit-eating Bat
Mammalia,Artibeus jamaicensis,Jamaican Fruit-eating Bat
Mammalia,Artibeus lituratus,Great Fruit-eating Bat
Mammalia,Artibeus obscurus,Dark Fruit-eating Bat
Mammalia,Artibeus phaeotis,Pygmy Fruit-eating Bat
Mammalia,Artibeus planirostris,Flat-faced Fruit-eating Bat
Mammalia,Artibeus rosenbergii,
Mammalia,Artibeus toltecus,Toltec Fruit-eating Bat
Mammalia,Artibeus watsoni,Thomas's Fruit-eating Bat
Mammalia,Arvicanthis abyssinicus,Abyssinian Grass Rat
Mammalia,Arvicanthis ansorgei,Sudanian Arvicanthis
Mammalia,Arvicanthis blicki,Blick's Grass Rat
Mammalia,Arvicanthis nairobae,Nairobi Grass Rat
Mammalia,Arvicanthis neumanni,Somali Grass Rat
Mammalia,Arvicanthis niloticus,African Grass Rat
Mammalia,Arvicanthis rufinus,Guinean Arvicanthis
Mammalia,Arvicola amphibius,"Eurasian Water Vole, European Water Vole, Water Vole"
Mammalia,Arvicola sapidus,"Southern Water Vole, Southwestern Water Vole"
Mammalia,Arvicola scherman,
Mammalia,Asellia patrizii,Patrizi's Trident Leaf-nosed Bat
Mammalia,Asellia tridens,"Geoffroy's Trident Leaf-nosed Bat, Trident Bat, Trident Leaf-nosed Bat"
Mammalia,Aselliscus stoliczkanus,"Stoliczka's Asian Trident Bat, Stoliczka's Trident Bat"
Mammalia,Aselliscus tricuspidatus,"Trident Leaf-nosed Bat, Temminck's Trident Bat"
Mammalia,Atelerix albiventris,Four-toed Hedgehog
Mammalia,Atelerix algirus,"Algerian Hedgehog, North African Hedgehog"
Mammalia,Atelerix frontalis,Southern African Hedgehog
Mammalia,Atelerix sclateri,Somali Hedgehog
Mammalia,Ateles belzebuth,"Long-haired Spider Monkey, White-bellied Spider Monkey"
Mammalia,Ateles chamek,"Black-faced Black Spider Monkey, Chamek Spider Monkey, Peruvian Black Spider Monkey"
Mammalia,Ateles fusciceps,"Brown-headed Spider Monkey, Black-headed Spider Monkey"
Mammalia,Ateles fusciceps,Brown-headed Spider Monkey
Mammalia,Ateles fusciceps,"Colombian Black Spider Monkey, Colombian Spider Monkey"
Mammalia,Ateles geoffroyi,"Geoffroyâ€™s Spider Monkey, Black-handed Spider Monkey, Central American Spider Monkey, Geoffroy's Spider Monkey, Mono Colorado"
Mammalia,Ateles geoffroyi,Azuero Spider Monkey
Mammalia,Ateles geoffroyi,"Black-browed Spider Monkey, Red-bellied Spider Monkey"
Mammalia,Ateles geoffroyi,"Nicaraguan Spider Monkey, Geoffroyâ€™s Spider Monkey"
Mammalia,Ateles geoffroyi,Hooded Spider Monkey
Mammalia,Ateles geoffroyi,Ornate Spider Monkey
Mammalia,Ateles geoffroyi,Mexican Spider Monkey
Mammalia,Ateles geoffroyi,Yucatán Spider Monkey
Mammalia,Ateles hybridus,"Variegated Or Brown Spider Monkey, Brown Spider Monkey"
Mammalia,Ateles hybridus,Brown Spider Monkey
Mammalia,Ateles hybridus,"Hybrid Spider Monkey, Variegated Spider Monkey"
Mammalia,Ateles marginatus,"White-cheeked Spider Monkey, White-whiskered Spider Monkey"
Mammalia,Ateles paniscus,"Guiana Spider Monkey, Black Spider Monkey, Red-faced Black Spider Monkey"
Mammalia,Atelocynus microtis,"Short-eared Dog, Short-eared Dod, Short-eared Fox, Small-eared Dog, Small-eared Zorro"
Mammalia,Atherurus africanus,African Brush-tailed Porcupine
Mammalia,Atherurus macrourus,Asiatic Brush-tailed Porcupine
Mammalia,Atilax paludinosus,"Marsh Mongoose, Water Mongoose"
Mammalia,Atlantoxerus getulus,Barbary Ground Squirrel
Mammalia,Auliscomys boliviensis,Bolivian Big-eared Mouse
Mammalia,Auliscomys pictus,Painted Big-eared Mouse
Mammalia,Auliscomys sublimis,Andean Big-eared Mouse
Mammalia,Avahi betsileo,Betsileo Woolly Lemur
Mammalia,Avahi cleesei,"Bemaraha Woolly Lemur, John Cleese's Avahi"
Mammalia,Avahi laniger,"Gmelin's Woolly Lemur, Avahi, Eastern Avahi, Eastern Woolly Lemur, Woolly Indris, Woolly Lemur"
Mammalia,Avahi meridionalis,Southern Woolly Lemur
Mammalia,Avahi occidentalis,"Lorenz Von Liburnauâ€™s Woolly Lemur, Western Avahi, Western Woolly Lemur"
Mammalia,Avahi peyrierasi,Peyrieras' Woolly Lemur
Mammalia,Avahi ramanantsoavanai,Ramantsoavana's Southern Woolly Lemur
Mammalia,Avahi unicolor,"Sambirano Woolly Lemur, Sambirano Avahi"
Mammalia,Axis axis,"Chital, Axis Deer, Indian Spotted Deer"
Mammalia,Axis calamianensis,"Calamanian Deer, Calamian Deer, Calamian Hog Deer, Philippine Deer"
