scientific,binomial,binomial_index,commons,commons_index,keywords,state,type
Anolis santamartae,Anolis santamartae,anolis santamartae,Santa Marta AnOle,santa marta anole,"marta,anole,santa",,BINOMIAL
Norops forbesi,Norops forbesi,norops forbesi,Forbes'  Anole,forbes anole,"forbes,anole",,BINOMIAL
Norops lynchi,Norops lynchi,norops lynchi,Lvnch's Anole,lvnch anole,"anole,lvnch",,BINOMIAL
Norops salvini,Norops salvini,norops salvini,Salvin's Anole,salvin anole,"anole,salvin",,BINOMIAL
Aprasia picturata,,,,,,NO_COMMONS,
Acontias breviceps,Acontias breviceps,acontias breviceps,Shorthead Lance Skink,shorthead lance skink,"lance,shorthead,skink",,BINOMIAL
Herichthys labridens,Herichthys labridens,herichthys labridens,Blackcheek Cichlid,blackcheek cichlid,"cichlid,blackcheek",,BINOMIAL
Ortalis vetula,Ortalis vetula,ortalis vetula,Plain Chachalaca,plain chachalaca,"plain,chachalaca",,BINOMIAL
Amphiglossus nanus,,,,,,NO_COMMONS,
Asymblepharus mahabharatus,,,,,,NO_COMMONS,
Caledoniscincus aquilonius,,,,,,NO_COMMONS,
Carlia prava,,,,,,NO_COMMONS,
Gila elegans,Gila elegans,gila elegans,Bonytail,Bonytail,Bonytail,,BINOMIAL
Ctenotus serotinus,Ctenotus serotinus,ctenotus serotinus,gravel-downs Ctenotus,gravel downs ctenotus,"ctenotus,downs,gravel",,BINOMIAL
Gila nigrescens,Gila nigrescens,gila nigrescens,Chihuahua Chub,chihuahua chub,"chihuahua,chub",,BINOMIAL
Glaphyromorphus timorensis,,,,,,NO_COMMONS,
Lankascincus deraniyagalae,Lankascincus deraniyagalae,lankascincus deraniyagalae,Deraniyagala's Tree Skink,deraniyagala tree skink,"tree,deraniyagala,skink",,BINOMIAL
Lipinia septentrionalis,,,,,,NO_COMMONS,
Lygosoma corpulentum,Lygosoma corpulentum,lygosoma corpulentum,Fat Skink,fat skink,"fat,skink",,BINOMIAL
Mabuya bensonii,Mabuya bensonii,mabuya bensonii,Benson's Mabuya,benson mabuya,"mabuya,benson",,BINOMIAL
Gila orcuttii,Gila orcuttii,gila orcuttii,Arroyo Chub,arroyo chub,"chub,arroyo",,BINOMIAL
Mabuya macrophthalma,,,,,,NO_COMMONS,
Gila pandora,Gila pandora,gila pandora,Rio Grande Chub,rio grande chub,"rio,chub,grande",,BINOMIAL
Notoscincus butleri,Notoscincus butleri,notoscincus butleri,Lined Soil-crevis Skink,lined soil crevis skink,"crevis,soil,lined,skink",,BINOMIAL
Oligosoma stenotis,,,,,,NO_COMMONS,
Gila seminuda,Gila seminuda,gila seminuda,Virgin Chub,virgin chub,"virgin,chub",,BINOMIAL
Scelotes gronovii,,,,,,NO_COMMONS,
Sphenomorphus nigriventris,,,,,,NO_COMMONS,
Tropidophorus baconi,,,,,,NO_COMMONS,
Cnemidophorus arubensis,Cnemidophorus arubensis,cnemidophorus arubensis,Aruba Whiptail,aruba whiptail,"whiptail,aruba",,BINOMIAL
Leiocephalus etheridgei,,,,,,NO_COMMONS,
Liolaemus velosoi,,,,,,NO_COMMONS,
Stenocercus eunetopsis,,,,,,NO_COMMONS,
Stenocercus ochoai,Stenocercus ochoai,stenocercus ochoai,Ochoa Whorltail Iguana,ochoa whorltail iguana,"whorltail,iguana,ochoa",,BINOMIAL
Tropidurus etheridgei,Tropidurus etheridgei,tropidurus etheridgei,Etheridge's Lava Lizard,etheridge lava lizard,"etheridge,lizard,lava",,BINOMIAL
Tropidurus panstictus,,,,,,NO_COMMONS,
Varanus melinus,Varanus melinus,varanus melinus,Banggai Island monitor,banggai island monitor,"island,banggai,monitor",,BINOMIAL
